Postcode,Longtitude,Latitude
5556,137.6,-34
2145,151,-33.8
2146,151,-33.8
2147,150.9,-33.8
2148,150.9,-33.8
2155,150.9,-33.7
2156,151,-33.7
2157,151,-33.6
2158,151,-33.7
2159,151.1,-33.5
2164,150.9,-33.8
2165,150.9,-33.9
2166,150.9,-33.9
2167,150.9,-34
2168,150.9,-33.9
2170,150.9,-33.9
2171,150.8,-33.9
2172,151,-33.9
2173,150.9,-34.1
2174,150.9,-34
2175,150.9,-33.8
2176,150.9,-33.9
2177,150.9,-33.9
2178,150.8,-33.9
2179,150.8,-34
2311,151.5,-32.3
2320,151.5,-32.7
2321,151.5,-32.8
2322,151.7,-32.8
2323,151.6,-32.8
2325,151.3,-33
2326,151.5,-32.8
2327,151.5,-32.8
2330,151,-32.8
2331,151.2,-32.6
2334,151.4,-32.7
2335,151.3,-32.6
2415,151.9,-32.3
2420,151.7,-32.2
2421,151.5,-32.6
2422,151.9,-32
2424,152,-31.6
2425,152,-32.4
2558,150.8,-34
2559,150.8,-34.1
2560,150.8,-34.2
2563,150.7,-34.1
2564,150.9,-34
2565,150.8,-34
2566,150.8,-34
